Y,X_1,X_2
0.0,3.75,9.7
9.52,9.51,7.75
1.48,7.32,9.39
0.0,5.99,8.95
0.0,1.56,5.98
0.0,1.56,9.22
1.34,0.58,0.88
10.0,8.66,1.96
10.0,6.01,0.45
10.0,7.08,3.25
0.0,0.21,3.89
10.0,9.7,2.71
5.36,8.32,8.29
0.0,2.12,3.57
0.0,1.82,2.81
0.0,1.83,5.43
4.37,3.04,1.41
0.0,5.25,8.02
9.06,4.32,0.75
0.0,2.91,9.87
1.69,6.12,7.72
0.17,1.39,1.99
7.21,2.92,0.06
0.0,3.66,8.15
0.0,4.56,7.07
6.09,7.85,7.29
0.0,2.0,7.71
10.0,5.14,0.74
8.2,5.92,3.58
0.0,0.46,1.16
1.54,6.08,8.63
0.0,1.71,6.23
0.0,0.65,3.31
10.0,9.49,0.64
10.0,9.66,3.11
10.0,8.08,3.25
0.0,3.05,7.3
0.0,0.98,6.38
0.94,6.84,8.87
2.81,4.4,4.72
0.86,1.22,1.2
0.0,4.95,7.13
0.0,0.34,7.61
10.0,9.09,5.61
0.0,2.59,7.71
6.77,6.63,4.94
0.0,3.12,5.23
3.9,5.2,4.28
10.0,5.47,0.25
4.87,1.85,1.08
